#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-27T07:00:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c245d33af68	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-sort=_r
#-nav=cat:I/324&cat:I/337&cat:I/345&tab:{I/345/gaia2}&cat:I/347&cat:VI/137&cat:VI/145&cat:J/A+A/523/A48&cat:V/149&cat:IX/52&key:source=GAIA+DR2&HTTPPRM:&&-ref=VIZ5c245d33af68&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-out.orig=standard&-order=I&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Source&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Dup&-out=FG&-out=e_FG&-out=Gmag&-out=e_Gmag&-out=FBP&-out=e_FBP&-out=BPmag&-out=e_BPmag&-out=FRP&-out=e_FRP&-out=RPmag&-out=e_RPmag&-out=BP-RP&-out=RV&-out=e_RV&-out=Teff&-out=AG&-out=E(BP-RP)&-out=Rad&-out=Lum&-out=ID&-out=eRV&-out=s_RV&-out=Tbase&-out=JDm&-out=N&-out=VC&-ignore=VC=*&VC=VC&-out=Flag&-out=RVS&-out=e_RVS&-out=o_RVS&-out=2MASS&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=Qflag&-out=Bmag&-out=Vmag&-out=SpType&-out=otype&-out=Simbad&Simbad=Simbad&-out=_RA.icrs&-out=_DE.icrs&-out=Instr&-out=JD&-out=Mask&-out=Idspec&-out=Allwise&-out=IERS&-out=LC&LC=LC&-out=TBest&-out=Pf&-out=P1O&-out=P2O&-out=P3O&-out=EpG&-out=EpBP&-out=EpRP&-out=AmpG&-out=AmpBP&-out=AmpRP&-out=[Fe/H]&-out=R21G&-out=R31G&-out=phi21G&-out=phi31G&-out=MBOL&-out=e_MBOL&-out=Flag&-out=BolCorr&-out=e_BolCorr&-out=Freq&-out=e_Freq&-out=Classifier&-out=BClass&-out=BClassScore&-out=Amp&-out=Nfov&-out=abbe&-out=Nvario&-out=Tvario&-out=Vvario&-out=NGmag&-out=TimeGmag&-out=DurGmag&-out=NBPmag&-out=TimeBPmag&-out=DurBPmag&-out=NRPmag&-out=TimeRPmag&-out=DurRPmag&-out=Ntrans&-out=TransitID&-out=TimeG&-out=TimeBP&-out=TimeRP&-out=VarGr&-out=VarBPr&-out=VarRPr&-out=ProtB&-out=AImax&-out=Gunsp&-out=BPunsp&-out=RPunsp&-out=Nseg&-out=Nout&-out=SProt&-out=FAPsPRot&-out=Scos&-out=Ssin&-out=Sa0&-out=SAI&-out=SGunsp&-out=SBPunsp&-out=SRPunsp&-out=STimeS&-out=STimeE&-out=ScolI&-out=ScolM&-out=Scor&-out=Ssigni&-out=TimeOutliers&-out=Nobs&-out=MPC&-out=Name&-out=astorb&astorb=astorb&-out=Slopeg&-out=Code&-out=Obs.arc&-out=Obs.num&-out=Obs.epoch&-out=Orb.m&-out=Omega&-out=Node&-out=Incl&-out=Eccen&-out=a&-out=Orb.Date&-out=CEU&-out=CEU.rate&-out=CEU.epoch&-out=Transit&-out=Obs.ID&-out=Epoch&-out=Res.RA&-out=Res.DE&-out=Res.AL&-out=Res.AC&-out=Select&-file=-c&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=Plx
#-out=Gmag
#-out=BPmag
#-out=RPmag
#-out=BP-RP
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
Plx|Gmag|BPmag|RPmag|BP-RP
    7.1449|15.8484|17.3656|14.6382| 2.7274

    7.5460|16.7608|18.4716|15.4757| 2.9960

    7.3906|15.6605|17.3249|14.4085| 2.9163

    6.7362|17.5692|19.6870|16.1691| 3.5179

    8.0324|15.8214|17.3670|14.5975| 2.7695

    6.7441|15.9953|17.5140|14.4794| 3.0346
    6.9178|16.7649|       |       |

    7.7165|17.3775|19.2587|16.0573| 3.2014

    6.7296|17.3618|19.2452|16.0518| 3.1934

    7.3344|16.6342|18.3986|15.3463| 3.0522

    7.3499|14.5811|15.9720|13.4142| 2.5578

    7.1743|16.0424|17.6427|14.8102| 2.8325

    7.3458|15.0278|16.3712|13.8809| 2.4903

    7.1801|14.5348|15.6938|13.4050| 2.2889
    6.5743|15.6598|       |       |

    7.3142| 9.6911|10.0043| 9.2412| 0.7631

    7.5836|15.3680|16.7858|14.1941| 2.5916

    7.5434|15.7080|17.2102|14.4955| 2.7147

    7.2286|12.4617|13.0948|11.7152| 1.3796

    6.6497|18.6099|20.5147|17.1872| 3.3275

    7.2830|15.0943|16.4090|13.9553| 2.4538

    6.9003|16.5610|18.2751|15.2880| 2.9871

    7.1867|12.5158|13.1814|11.7330| 1.4484

    7.3006|16.5691|18.2309|15.3135| 2.9174

    7.1216|15.6992|17.1889|14.4983| 2.6906

    6.8536|17.9886|19.9448|16.6404| 3.3043

    7.6465|16.7495|18.5419|15.4521| 3.0898

    7.7823|16.8360|18.6215|15.5461| 3.0754

    7.3877|12.3304|12.9341|11.6066| 1.3275

    7.7857|12.1380|12.7267|11.4322| 1.2945

    7.3556|17.5594|19.3775|16.2072| 3.1703

    7.0732|15.7643|17.4129|14.5093| 2.9036

    8.1561|16.6659|18.2909|15.3828| 2.9081
    0.5637|20.0003|       |       |

    7.2215| 8.7778| 8.9812| 8.4773| 0.5039

    6.9168|16.1345|17.7547|14.8910| 2.8637

    7.4131|17.4115|19.3390|16.0831| 3.2558

    7.3867|18.3948|20.3248|16.9937| 3.3312

    7.4799|17.9381|19.9388|16.5662| 3.3727

    7.2167|17.2195|19.0949|15.8969| 3.1979

    7.4910|14.3129|15.4011|13.2799| 2.1211

    7.1930|17.2379|18.9299|15.9534| 2.9765

    7.5265|15.8874|17.4628|14.6656| 2.7972

    8.0050|16.5335|18.2562|15.2545| 3.0017

    7.1392|16.7943|18.5011|15.5102| 2.9910

    7.2931|17.2698|19.1012|15.9552| 3.1460

    7.2080|16.6720|18.4604|15.3605| 3.1000

    7.2483|14.5087|15.6648|13.4499| 2.2149

    7.2484| 9.9338|10.2459| 9.4957| 0.7501

    7.3747|16.5345|18.2664|15.2547| 3.0117

    7.2873|15.3344|16.7255|14.1709| 2.5546

    7.2851|13.5183|14.3831|12.6110| 1.7721

    6.9179|15.7374|17.2230|14.5385| 2.6845

    7.5590|13.4313|14.2991|12.5247| 1.7744

    7.5743|16.8169|18.6401|15.5159| 3.1242

    7.4988|16.1317|17.7108|14.8967| 2.8142

    7.0793|16.8623|18.6718|15.5554| 3.1164

    7.2803|16.9358|18.6983|15.6441| 3.0541

    7.0992|15.7350|17.2175|14.5395| 2.6780

    7.8806|18.3410|20.4233|16.9483| 3.4749

    7.2099| 9.2998| 9.5712| 8.9065| 0.6648

    7.3538|16.5844|18.4787|15.2784| 3.2003

    7.6550|17.2605|19.1070|15.9480| 3.1590

    6.8130|15.8596|17.5803|14.5944| 2.9859

    7.1901|17.0724|18.8717|15.7685| 3.1032

    7.0826|15.5717|16.9857|14.3949| 2.5907

    7.2962| 7.7872| 7.8950| 7.6383| 0.2567

    7.4987|10.5823|10.9713|10.0529| 0.9184

    8.0230|17.3667|19.1126|16.0559| 3.0567

    7.1659|16.6337|18.2939|15.3680| 2.9260

    7.3890|18.5948|20.7821|17.1851| 3.5970

    7.5237|16.9635|18.7400|15.6681| 3.0719

    7.0567| 9.3543| 9.6280| 8.9570| 0.6710

    6.7561|10.8839|11.3174|10.3115| 1.0059

    7.2784|14.0204|15.0188|13.0380| 1.9808

    6.7321|11.5518|12.0219|10.9522| 1.0697

    7.4756|16.8468|18.6162|15.5393| 3.0769

    7.5334|17.1777|19.0103|15.8580| 3.1523

    6.7347|15.5123|16.9637|14.3292| 2.6345

    7.1931|17.3734|19.1845|16.0713| 3.1132

    7.1632|16.1856|17.7929|14.9441| 2.8487

    6.7868|18.1602|20.1527|16.7896| 3.3631

    7.4803| 8.8748| 9.0686| 8.4814| 0.5872
          | 9.7510| 9.7529| 8.9889| 0.7640

    7.3625|17.3216|19.1994|16.0093| 3.1901

    7.1115|15.0871|16.4032|13.9509| 2.4524

    7.6601|16.3217|18.0059|15.0521| 2.9538

    7.4435| 6.6867| 6.7040| 6.6966| 0.0075

    7.1279|18.8281|21.2134|17.3843| 3.8292

    7.3824|14.6421|15.8566|13.5550| 2.3016

    7.0368|18.1986|20.3312|16.8250| 3.5062

    7.2674|12.3862|12.9993|11.6473| 1.3520

    7.5799|17.5334|19.5536|16.1998| 3.3538

    7.4877| 7.6915| 7.7929| 7.5512| 0.2417

    7.1950|18.4681|20.4814|17.0484| 3.4330

    7.2726|17.4296|19.3054|16.0892| 3.2162

    7.6131|11.9942|12.5516|11.3154| 1.2362

    7.4230|15.9266|17.4759|14.7025| 2.7734

    7.7803|11.0756|11.4563|10.3543| 1.1019

    6.9279|15.7978|17.2692|14.5938| 2.6754

    8.0768|17.1847|18.9470|15.8756| 3.0714

    7.8403|17.9554|19.8652|16.5840| 3.2812

    7.3818| 6.9899| 7.0214| 6.9674| 0.0540

    7.1256|13.9136|14.8548|12.9603| 1.8946

    7.1174|13.1488|14.1094|12.1777| 1.9317

    7.6350|19.1266|21.0163|17.6716| 3.3447

    7.5419|17.8034|19.9556|16.4372| 3.5184

    7.2734|16.6359|18.4939|15.3157| 3.1782

    7.3031|15.7956|17.3560|14.5696| 2.7864

    7.2402|11.8556|12.3796|11.1998| 1.1798

    7.4554|13.8658|14.8325|12.8971| 1.9355

    7.9342|18.3846|       |       |

    7.5940|15.1231|16.4792|13.9700| 2.5092

    6.9251|14.9798|16.2609|13.8607| 2.4002

    7.4516|11.6739|12.2709|10.9608| 1.3101

    7.9239|18.3175|20.1491|16.8859| 3.2632

    7.3532|18.0478|20.1898|16.6825| 3.5073

    7.5726|17.9061|19.9238|16.5322| 3.3915

    7.2257|12.7481|13.4325|11.9576| 1.4749

    7.8083|13.9547|14.9894|12.9504| 2.0390

    7.4240|13.6834|14.5956|12.7482| 1.8474

    7.5218|17.1558|18.9721|15.8331| 3.1390

    8.1394|18.8933|20.9553|17.4091| 3.5462

    7.5089|17.0874|18.8021|15.7943| 3.0078

    7.0817|17.5792|19.4235|16.2344| 3.1891

    7.0730|16.2340|17.8516|14.9798| 2.8718

    7.0652|17.6255|19.5147|16.2763| 3.2385

    6.9630|16.0062|17.5797|14.7757| 2.8040

    7.4567|15.8665|17.4304|14.6409| 2.7895

    7.4311|16.6880|18.5260|15.3833| 3.1427

    7.3744|16.3134|17.9799|15.0518| 2.9281

    7.3567|17.5819|19.4845|16.2352| 3.2493

    6.6723|14.8514|16.0361|13.7691| 2.2670

    7.3116|17.0696|18.9982|15.7438| 3.2544

    6.9801|16.3488|17.9890|15.0837| 2.9054

    6.8978|18.9848|20.8937|17.5224| 3.3713

    7.6240|16.5146|18.2060|15.2526| 2.9534

    7.5295|15.2116|16.5773|14.0575| 2.5198

    7.2306|17.8137|19.9073|16.4683| 3.4391

    7.2754|17.3416|19.2598|16.0104| 3.2494

    7.5554|14.6058|15.7997|13.5218| 2.2779

    6.9319|16.3050|17.7421|15.1300| 2.6121

    7.2451|15.2582|16.6604|14.0895| 2.5709

    7.2691| 9.5192| 9.8547| 9.0462| 0.8085

    7.9451|17.0057|18.8032|15.7147| 3.0885

    7.1026|15.8056|17.2812|14.6139| 2.6674

    7.7762|19.2479|21.4444|17.7522| 3.6922

    7.3793|12.8952|13.6096|12.0900| 1.5196

    7.1880|15.5662|17.0481|14.3642| 2.6839

    7.6730|18.9144|19.8509|17.3972| 2.4538

    7.5030| 9.9817|10.3332| 9.4984| 0.8348

    7.2675|16.1155|17.6083|14.8323| 2.7760

    7.0725|16.7248|18.5326|15.4354| 3.0972

    7.0919|15.7465|17.0486|14.5285| 2.5201

    7.2838|18.1035|18.7081|16.3504| 2.3578
    7.1711|18.9702|       |       |

    7.3999|10.0380|10.4300| 9.5213| 0.9087

    7.1221|10.9291|11.3491|10.3921| 0.9570

    7.3986|17.7123|19.7246|16.3378| 3.3868

    7.0806|16.5416|18.2300|15.2208| 3.0092

    7.3120|16.6030|18.3969|15.3125| 3.0844

    7.2524|17.0236|18.9485|15.6615| 3.2870

    6.9820|17.0149|18.1132|15.5645| 2.5486

    7.4026|16.8797|18.6546|15.5646| 3.0900

    7.3237|15.6383|16.0431|14.0497| 1.9934

    7.5253|18.0918|19.0515|16.5836| 2.4679

    7.0861|17.5501|19.3521|16.2300| 3.1221

    7.3428|13.7323|14.6275|12.8008| 1.8267

    7.2586|12.8660|13.6063|12.0442| 1.5621

    8.1297|17.6377|19.6690|16.1704| 3.4985

    7.3469|11.8894|12.6485|11.0190| 1.6295

    6.9309|17.7854|19.6237|16.1971| 3.4265
          |19.1684|       |       |

    7.4227|12.4256|13.0579|11.6801| 1.3778

    7.4345|18.5962|20.7221|17.2007| 3.5214

    7.6380|15.0879|16.4421|13.9404| 2.5018

    7.5006|16.8627|18.6753|15.5567| 3.1186

    7.1913|18.3436|19.2023|16.8832| 2.3191

    7.3127|14.5274|15.6851|13.4618| 2.2232

    7.3580|14.7630|16.1657|13.5918| 2.5739

    7.5716|18.1891|19.0376|16.7445| 2.2931

    6.9723|16.7661|18.5784|15.4699| 3.1085

    7.1325| 9.0273| 9.2674| 8.6713| 0.5961

    7.5016|17.4365|19.1897|16.1100| 3.0797

    7.3212|13.2397|14.0323|12.3779| 1.6544

    7.3377|18.4977|20.2534|17.0689| 3.1846

    7.4121|16.7191|18.5114|15.4244| 3.0870

    7.4467|17.3245|18.8941|15.9887| 2.9053

    7.7448|17.2325|19.1456|15.9221| 3.2234

    7.1279|18.3093|19.9857|16.9144| 3.0712

    7.2962|14.0378|15.0467|13.0374| 2.0092

    7.1271| 6.9818| 7.0151| 6.9707| 0.0444

    7.3497|12.2136|12.7903|11.5141| 1.2762

    7.1946|17.9392|20.0379|16.6068| 3.4311

    7.3856|18.7825|21.0501|17.3291| 3.7210

    7.1183|15.7507|17.2698|14.5370| 2.7328

    7.4154| 9.7527|10.0472| 9.3336| 0.7136

    7.3794|13.6552|14.5518|12.7278| 1.8241

    7.1188|11.4698|11.9406|10.8771| 1.0635

    7.3232|17.4116|19.2548|16.0924| 3.1624

    7.1711|18.9702|       |       |
    7.2838|18.1035|18.7081|16.3504| 2.3578

    7.3935| 8.2085| 8.1065| 7.6808| 0.4257

    7.2805|11.6896|12.1879|11.0580| 1.1299

    7.3656|13.9019|14.8494|12.9455| 1.9039

    6.9778|17.7214|19.6570|16.3465| 3.3105

    7.0956|17.7911|19.7350|16.4328| 3.3022

    7.2425|14.2380|15.3137|13.2077| 2.1060

    7.6651|17.3402|19.1350|16.0119| 3.1231

    7.3503|17.1619|18.4119|15.7705| 2.6414

    7.3754|16.1017|17.7265|14.8615| 2.8651

    7.3689| 9.0496| 9.3105| 8.6682| 0.6422

    8.2949|17.1131|18.9470|15.8109| 3.1361

    7.1459|13.7429|14.6446|12.7978| 1.8468

    7.4081|13.5756|14.4426|12.6630| 1.7796

    7.4385|12.4571|13.0909|11.7139| 1.3770

    7.4040|10.6592|11.0420|10.1408| 0.9013

    7.1360|16.1236|17.6641|14.8721| 2.7920

    7.1863|10.5871|11.0413| 9.9927| 1.0486

    6.6070|17.9296|19.9932|16.4573| 3.5359
    0.0949|20.7490|       |       |

    7.2472|16.2617|17.9115|15.0148| 2.8967

    7.3691|13.7172|14.6215|12.7817| 1.8399

    7.8417|17.6565|19.8195|16.2407| 3.5788

    7.2260| 7.8181| 7.9361| 7.6621| 0.2740

    7.1382|18.2222|20.1008|16.7683| 3.3326

    7.3386|13.3484|14.1472|12.4799| 1.6673

    7.3183|17.4894|19.3863|16.1014| 3.2849

    7.1466|17.3290|18.9973|16.0074| 2.9899

    7.1185|10.3610|10.8609| 9.7257| 1.1352

    7.3020|14.1910|15.4618|13.0672| 2.3946

    7.1660|16.6822|18.4619|15.3993| 3.0626

    7.4333|18.0557|19.1430|16.6320| 2.5110

    7.0699|17.8959|19.6790|16.5215| 3.1575

    7.4419|15.8253|17.3345|14.6071| 2.7274

